# Top level file listing the corpus collections
#Collection File, HTML Gloss File, Title, Description, Introduction File, Corpus, Format, Period
taisho/t0028.csv	taisho/t0028.html	Yuan Sheng Shu Jing (Pāricchattaka) 《園生樹經》	Translated by Dānapāla in 1 scroll.	taisho/t0028_00.txt	Taishō	Sūtra	960－1127	āgama
taisho/t0029.csv	taisho/t0029.html	Salt Water Parable Sūtra 《鹹水喻經》	Translated by an unknown author in 1 scroll.	taisho/t0029_00.txt	Taishō	Sūtra	265-317	āgama
taisho/t0030.csv	taisho/t0030.html	Saptasūryodasūtra 《薩鉢多酥哩踰捺野經》	Translated by Faxian in the Song in 1 scroll.	taisho/t0030_00.txt	Taishō	Sūtra	991	āgama
taisho/t0031.csv	taisho/t0031.html	Yiqie Liu She Shou Yin Jing (Sabbāsavasutta) 《一切流攝守因經》	Translated by An Shigao in 1 scroll.	taisho/t0031_00.txt	Taishō	Sūtra	148-170	āgama
taisho/t0032.csv	taisho/t0032.html	Si Di Jing (Catuḥsatyasūtra) 《四諦經》	Translated by An Shigao in 1 scroll.	taisho/t0032_00.txt	Taishō	Sūtra	148-170	āgama
taisho/t0033.csv	taisho/t0033.html	Heng Shui Jing (Uposatha) 《恒水經》	Translated by Fa Ju in 1 scroll.	taisho/t0033_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0034.csv	taisho/t0034.html	Fa Hai Jing 《法海經》	Translated by Fa Ju in 1 scroll.	taisho/t0034_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0035.csv	taisho/t0035.html	Hai Ba De Jing 《海八德經》	Translated by Kumārajīva in 1 scroll.	taisho/t0035_00.txt	Taishō	Sūtra	402-412	āgama
taisho/t0036.csv	taisho/t0036.html	Ben Xiang Yi Zhi Jing 《本相猗致經》	Translated by An Shigao in 1 scroll.	taisho/t0036_00.txt	Taishō	Sūtra	148-170	āgama
taisho/t0037.csv	taisho/t0037.html	Yuan Ben Zhi Jing 《緣本致經》	Translated by an unknown author in 1 scroll.	taisho/t0037_00.txt	Taishō	Sūtra	317-420	āgama
taisho/t0038.csv	taisho/t0038.html	Lunwang Qi Bao Jing (Cakkavatti) 《輪王七寶經》	Translated by Dānapāla in 1 scroll.	taisho/t0038_00.txt	Taishō	Sūtra	960－1127	āgama
taisho/t0039.csv	taisho/t0039.html	Ding Sheng Wang Gushi Jing 《頂生王故事經》	Translated by Fa Ju in 1 scroll.	taisho/t0039_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0040.csv	taisho/t0040.html	Wentuojie Wang Jing 《文陀竭王經》	Translated by Dharmakṣema in 1 scroll.	taisho/t0040_00.txt	Taishō	Sūtra	414-421	āgama
taisho/t0041.csv	taisho/t0041.html	Bimbisārapratyudgamanasūtra (King Bimbisāra Sūtra) 《頻婆娑羅王經》	Translated by Faxian in 1 scroll.	taisho/t0041_00.txt	Taishō	Sūtra	998	āgama
taisho/t0042.csv	taisho/t0042.html	Tie Cheng Nili Jing 《鐵城泥犁經》	Translated by Tan Wulan in 1 scroll.	taisho/t0042_00.txt	Taishō	Sūtra	381-395	āgama
taisho/t0043.csv	taisho/t0043.html	Yan Luo Wang Wu Tian Shizhe Jing (Devadūtasutta) 《閻羅王五天使者經》	Translated by Hui Jian in 1 scroll.	taisho/t0043_00.txt	Taishō	Sūtra	457	āgama
taisho/t0044.csv	taisho/t0044.html	Gu Lai Shi Shi Jing 《古來世時經》	By an unknown translator in 1 scroll.	taisho/t0044_00.txt	Taishō	Sūtra	317-420	āgama
taisho/t0045.csv	taisho/t0045.html	Dazhengju Wang Jing (Pāyāsisuttanta) 《大正句王經》	Translated by Faxian in the Song in 1 scroll.	taisho/t0045_00.txt	Taishō	Sūtra	995-997	āgama
taisho/t0046.csv	taisho/t0046.html	Analu Ba Nian Jing (Anurudda Sutta) 《阿那律八念經》	Translated by Zhi Yao in 1 scroll.	taisho/t0046_00.txt	Taishō	Sūtra	185	āgama
taisho/t0047.csv	taisho/t0047.html	Li Shui Jing (Pacalā Sutta) 《離睡經》	Translated by Dharmarakṣa in 1 scroll.	taisho/t0047_00.txt	Taishō	Sūtra	265-313	āgama
taisho/t0048.csv	taisho/t0048.html	Shi Fa Fei Fa Jing (Sappurisasutta) 《是法非法經》	Translated by An Shigao in 1 scroll.	taisho/t0048_00.txt	Taishō	Sūtra	148-170	āgama
taisho/t0049.csv	taisho/t0049.html	Qiu Yu Jing (Anaṅgaṇasutta) 《求欲經》	Translated by Fa Ju in 1 scroll.	taisho/t0049_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0050.csv	taisho/t0050.html	Shou Sui Jing (Anumānasutta) 《受歲經》	Translated by Dharmarakṣa in 1 scroll.	taisho/t0050_00.txt	Taishō	Sūtra	265-313	āgama
taisho/t0051.csv	taisho/t0051.html	Fanzhi Ji Shui Jing Jing (Vatthūpamasūtta) 《梵志計水淨經》	By an unknown translator in 2 scrolls.	taisho/t0051_00.txt	Taishō	Sūtra	317-420	āgama
taisho/t0052.csv	taisho/t0052.html	Da Sheng Yi Jing (Mahānidānasūtra) 《大生義經》	Translated by Dānapāla in 1 scroll	taisho/t0052_00.txt	Taishō	Sūtra	1001	āgama
taisho/t0053.csv	taisho/t0053.html	Ku Yin Jing (Mahādukkhakāhandhasutta) 《苦陰經》	By an unknown translator in 1 scroll	taisho/t0053_00.txt	Taishō	Sūtra	25-220	āgama
taisho/t0054.csv	taisho/t0054.html	Shimonan Ben Si Zi Jing 《釋摩男本四子經》	Translated by Zhi Qian in 1 scroll	taisho/t0054_00.txt	Taishō	Sūtra	223-253	āgama
taisho/t0055.csv	taisho/t0055.html	Ku Yin Yin Shi Jing (Cuḷadukkhakkhandhasutta) 《苦陰因事經》	Translated by Fa Ju in 1 scroll	taisho/t0055_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0056.csv	taisho/t0056.html	Le Xiang Jing (Mulapariyāyasutta) 《樂想經》	Translated by Dharmarakṣa in 1 scroll	taisho/t0056_00.txt	Taishō	Sūtra	265-313	āgama
taisho/t0057.csv	taisho/t0057.html	Lou Fen Bu Jing (Nibbedhika) 《漏分布經》	Translated by An Shigao in 1 scroll	taisho/t0057_00.txt	Taishō	Sūtra	148-170	āgama
taisho/t0058.csv	taisho/t0058.html	Anoufeng Jing (Udaka Sutta) 《阿耨風經》	Translated by Tan Wulan in 1 scroll	taisho/t0058_00.txt	Taishō	Sūtra	381-395	āgama
taisho/t0059.csv	taisho/t0059.html	Zhu Fa Ben Jing (Mūla Sutta) 《諸法本經》	Translated by Zhi Qian in 1 scroll	taisho/t0059_00.txt	Taishō	Sūtra	223-253	āgama
taisho/t0060.csv	taisho/t0060.html	Qutanmi Ji Guo Jing (Gotamī) 《瞿曇彌記果經》	Translated by Hui Jian in 1 scroll	taisho/t0060_00.txt	Taishō	Sūtra	457	āgama
taisho/t0061.csv	taisho/t0061.html	Shou Xin Sui Jing (Pravāraṇasūtra) 《受新歲經》	Translated by Dharmarakṣa in 1 scroll	taisho/t0061_00.txt	Taishō	Sūtra	265-313	āgama
taisho/t0062.csv	taisho/t0062.html	Xin Sui Jing (Pravāraṇasūtra) 《新歲經》	Translated by Tan Wulan in 1 scroll	taisho/t0062_00.txt	Taishō	Sūtra	381-395	āgama
taisho/t0063.csv	taisho/t0063.html	Jie Xia Jing (Pravāraṇasūtra) 《解夏經》	Translated by Faxian in 1 scroll	taisho/t0063_00.txt	Taishō	Sūtra	998	āgama
taisho/t0064.csv	taisho/t0064.html	Zhanpo Biqiu Jing (Kāraṇḍavasutta) 《瞻婆比丘經》	Translated by Fa Ju in 1 scroll	taisho/t0064_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0065.csv	taisho/t0065.html	Fu Yin Jing (Kāmabhogī) 《伏婬經》	Translated by Fa Ju in 1 scroll	taisho/t0065_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0066.csv	taisho/t0066.html	Mo Rao Luan Jing 《魔嬈亂經》	By an unknown translator in 1 scroll	taisho/t0066_00.txt	Taishō	Sūtra	25-220	āgama
taisho/t0067.csv	taisho/t0067.html	Bi Mo Shi Mulian Jing (Māratajjaniyasūtta) 《弊魔試目連經》	Translated by Zhi Qian in 1 scroll	taisho/t0067_00.txt	Taishō	Sūtra	223-253	āgama
taisho/t0068.csv	taisho/t0068.html	Laizhaheluo Jing (Raṭṭhapālasutta) 《賴吒和羅經》	Translated by Zhi Qian in 1 scroll	taisho/t0068_00.txt	Taishō	Sūtra	223-253	āgama
taisho/t0069.csv	taisho/t0069.html	Hu Guo Jing 《護國經》	Translated by Faxian in 1 scroll	taisho/t0069_00.txt	Taishō	Sūtra	999	āgama
taisho/t0070.csv	taisho/t0070.html	Shu Jing (Gaṇakamoggallāānasutta) 《數經》	Translated by Fa Ju in 1 scroll	taisho/t0070_00.txt	Taishō	Sūtra	290-307	āgama
taisho/t0071.csv	taisho/t0071.html	Fanzhi Aboluo Yan Wen Zhong Zun Jing (Assalāyanasutta) 《梵志頞波羅延問種尊經》	Translated by Tan Wulan in 1 scroll	taisho/t0071_00.txt	Taishō	Sūtra	381-395	āgama
taisho/t0072.csv	taisho/t0072.html	San Gui Wu Jie Ci Xin Yanli GongdeJing (Velāma) 《三歸五戒慈心厭離功德經》	By an unknown translator in 1 scroll	taisho/t0072_00.txt	Taishō	Sūtra	317-420	āgama
taisho/t0073.csv	taisho/t0073.html	Sudatta Sutta (Velāma) 《須達經》	Translated by Guṇavṛddhi in 1 scroll	taisho/t0073_00.txt	Taishō	Sūtra	492	āgama
