1	Diamond Sūtra (Sanskrit)	file	Sanskrit	IAST	Sūtra	corpus_entry.php?uri=diamond-sutra-sanskrit.md	UWest Sanskrit Buddhist Canon	\N	---END---	diamond-sutra-sanskrit.txt	\N	\N	Prajnaparamita	\N	\N	diamond-sutra-sanskrit-analysis.md	\N
16	Lalitavistara, Scroll 2 Fragment A 普曜經卷2部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=lalitavistara-scroll2-taisho.md	Taisho Tripitaka	「爾時王后坐師子床	「時三萬二千梵志	lalitavistara-scroll2-taisho.txt	Dharmarakṣa	Vol. 3, no. 186, p. 493, c13-p. 494, b28	Jātaka	Western Jin 265－316	\N	lalitavistara-scroll2-taisho-analysis.md	lalitavistara-scroll2-taisho-gloss.html
17	Mahāparinirvāṇasūtra, Scroll 2 Fragment B 佛般泥洹經卷2部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=nirvana-sutra-scroll2b.md	Taisho Tripitaka	佛從四月八日生	既分舍利	nirvana-sutra-scroll2b.txt	Bu Zai	Vol. 1, no. 6, p. 190, c4-8	Āgama	Eastern Jin 317 - 420	\N	nirvana-sutra-scroll2b-analysis.md	nirvana-sutra-scroll2b-gloss.html
18	Sarvāstivādavinayavibhāṣā, Scroll 2 Fragment 薩婆多毘尼毘婆沙卷2部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=sarvastivadavinayavibhasa-scroll2.md	Taisho Tripitaka	佛以二月八日弗星現時	佛三阿僧祇劫習菩薩行	sarvastivadavinayavibhasa-scroll2.txt	Bu Zai	Vol. 23, no. 1440, p. 510, b21-29	Jātaka	Western Qin (385－431)	\N	sarvastivadavinayavibhasa-scroll2-analysis.md	sarvastivadavinayavibhasa-scroll2-gloss.html
19	Mohe Cha Tou Sūtra, Scroll 1 Fragment 佛說摩訶剎頭經卷1部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=mohechatou-scroll1-taisho.md	Taisho Tripitaka	以四月八日夜半明星出時	佛言。我為菩薩在世時	mohechatou-scroll1-taisho.txt	Bu Zai	Vol. 16, no. 696, p. 797, c10-24	Jātaka	Western Qin (385－431)	\N	mohechatou-scroll1-taisho-analysis.md	mohechatou-scroll1-taisho-gloss.html
20	Shi Er You Sūtra, Scroll 1 Fragment 佛說十二遊經卷1	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=shieryou-scroll1-taisho.md	Taisho Tripitaka	菩薩在兜術天上	菩薩外家，去城八百里	shieryou-scroll1-taisho.txt	Kālodaka	Vol. 4, no. 195, p. 146, b20-c16	Jātaka	Eastern Jin (317 - 420)	\N	shieryou-scroll1-taisho-analysis.md	shieryou-scroll1-taisho-gloss.html
21	Nāgārjuna's Middle Way: Mulamadhyamakakarika 龍樹中論	file	Chinese	Traditional	śāstra	corpus_entry.php?uri=mulamadhyamakakarika.md	Taisho Tripitaka	問曰。何故造此論	本網站採用	mulamadhyamakakarika.txt	Kumārajīva	Vol. 30 No. 1564	Prajnaparamita	334－413	\N	mulamadhyamakakarika-analysis.md	mulamadhyamakakarika-gloss.html
22	Abdhutadharma Fragment 未曾有法品部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=madhyamagama-scroll8.md	Taisho Tripitaka	我聞世尊在兜瑟哆天	我聞世尊一時在父白淨王家	madhyamagama-scroll8.txt	Sajghadeva	CBETA, T01, no. 26	Āgama	334－413	\N	madhyamagama-scroll8-analysis.md	madhyamagama-scroll8-gloss.html
23	Dīrghāgama, Scroll 2 Fragment 長阿含經卷2部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=dirghagama-scroll2.md	Taisho Tripitaka	佛告阿難：「凡世地動，有八因緣。	爾時，世尊即說偈言	dirghagama-scroll2.txt	\N	Vol. 1, No. 1	Āgama	Later Qin 384－417	dirghagama-scroll2-tagged.txt	\N	dirghagama-scroll2-analysis.md	dirghagama-scroll2-gloss.html
24	Buddhacarita, Scroll 1 Fragment 佛所行讚卷1部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=buddhacarita-scroll1-frag.md	Taisho Tripitaka	爾時摩耶后，	時彼林中有，	buddhacarita-scroll1-frag.txt	Dharmakṣema	Vol. 4, No. 192	Jātaka	Northern Liang 398－439	\N	buddhacarita-scroll1-frag-analysis.md	buddhacarita-scroll1-frag-gloss.html
25	Past and Present Causes and Effects Fragment, Scroll 1 過去現在因果經卷1部分	file	Chinese	Traditional	Sūtra	corpus_entry.php?uri=past-present-causes-scroll1-frag.md	Taisho Tripitaka	爾時菩薩觀降胎時至	當爾之時，諸釋種姓	past-present-causes-scroll1-frag.txt	Gunabhadra	Vol. 3, no. 189, p. 624, a20-p. 626, a22	Jātaka	Liu Song 435-443	\N	past-present-causes-scroll1-frag-analysis.md	past-present-causes-scroll1-frag-gloss.html
26	Shijia Pu, Scroll 1 釋迦譜卷1	file	Chinese	Traditional	Commentary	corpus_entry.php?uri=shijia-pu-scroll1.md	Taisho Tripitaka	蓋聞。菩提之為極也	【編輯說明】本資料庫由中華電子佛典協會	shijia-pu-scroll1.txt	Seng You	Vol. 50, no. 2040, p. 10, a22-23	Jātaka	Liang 502-557	\N	shijia-pu-scroll1-analysis.md	shijia-pu-scroll1-gloss.html
27	Shijia Shi Pu, Scroll 1 Fragment 釋迦氏譜卷1部分	file	Chinese	Traditional	Commentary	corpus_entry.php?uri=shijiashi-pu-scroll1.md	Taisho Tripitaka	現生誕靈迹第三	集藝歷試迹第四	shijiashi-pu-scroll1.txt	Seng You	Vol. 50, no. 2040, p. 10, a22-23	Jātaka	Liang 502-557	\N	shijiashi-pu-scroll1-analysis.md	shijiashi-pu-scroll1-gloss.html
28	Chu San Zang Ji Ji, Scroll 13 出三藏記集卷13部分	file	Chinese	Traditional	Commentary	corpus_entry.php?uri=chusanzangjiji-scroll13-frag.md	Taisho Tripitaka	晧曰。若然則周孔已明之矣	會在吳朝亟說正法。	chusanzangjiji-scroll13-frag.txt	Seng You	Vol. 55, no. 2145, p. 96, c16-p. 97, a10	Jātaka	Liang 502-557	\N	chusanzangjiji-scroll13-frag-analysis.md	chusanzangjiji-scroll13-frag-gloss.html
29	Hong Ming Collection, Scroll 1 Fragment 弘明集卷1部分	file	Chinese	Traditional	Commentary	corpus_entry.php?uri=hongmingji-scroll1-fragment.md	Taisho Tripitaka	佛從何出生。寧有先祖及國邑不	王常使隨太子。	hongmingji-scroll1-fragment.txt	Seng You	Vol. 52, no. 2102, p. 1, c1-10	Commentary	Liang 502-518	\N	hongmingji-scroll1-fragment-analysis.md	hongmingji-scroll1-fragment-gloss.html
30	Jing Lu Yi Xiang, Scroll 28 Fragment 經律異相卷28部分	file	Chinese	Traditional	Commentary	corpus_entry.php?uri=jingluyixiang-scroll28-fragment.md	Taisho Tripitaka	古昔有佛。號曰始無。	耆域藥王請僧佛八	jingluyixiang-scroll28-fragment.txt	Min Bao Chang	Vol. 53, no. 2121, p. 152, c15-27	Commentary	Liang 516	\N	jingluyixiang-scroll28-fragment-analysis.md	jingluyixiang-scroll28-fragment-gloss.html
31	Fa Yuan Zhu Lin Scroll 91 法苑珠林卷第九十一	file	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=fayuanzhulin-scroll91.md	Taisho Tripitaka	法苑珠林卷第九十一	中華電子佛典協會	fayuanzhulin-scroll91.txt	Dao Shi	Vol. 53, No. 2122	Historic Doc.	\N	\N	fayuanzhulin-scroll91-analysis.md	fayuanzhulin-scroll91-gloss.html
32	Ye Zhong Ji 《鄴中記》	file	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=yezhongji.md	Chinese Text Project	石虎性好佞佛	石虎少好游獵	yezhongji.txt	\N	\N	Historic Doc.	334 – 349	yezhongji-tagged.txt	yezhongji-analysis.md	yezhongji-gloss.html
33	Record of Buddhistic Kingdoms – Yutian 《佛國記》‧于闐	file	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=foguoji.md	Wiki Source	法顯等欲觀行像	其城西七八里有僧伽藍	foguoji.txt	\N	\N	Historic Doc.	339-420	foguoji-yutian-tagged.txt	foguoji-yutian-analysis.md	foguoji-gloss.html
34	Record of Buddhistic Kingdoms – Kingdom of Mojie 《佛國記》‧摩竭國	file	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=foguoji-mojie.md	Wiki Source	凡諸中國，唯此國城邑	阿育王壞七塔	foguoji.txt	\N	\N	Historic Doc.	339-420	foguoji-mojie-tagged.txt	foguoji-mojie-analysis.md	foguoji-mojie-gloss.html
35	Book of Wei – Shi Lao Zhi《魏書 釋老志》	file	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=weishu-shilaozhi.md	Taisho Tripitaka	世祖燾即位。	世祖平赫連昌	weishu-shilaozhi.txt	\N	\N	Historic Doc.	424 – 451	weishu-shilaozhi-tagged.txt	weishu-shilaozhi-analysis.md	weishu-shilaozhi-gloss.html
36	Biographies of Eminent Monks, Scroll 01《高僧傳》卷第一	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll1.md	Taisho Tripitaka	高僧傳卷第一	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_001.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll1-analysis.md	gaosengzhuan-scroll1-gloss.html
37	Biographies of Eminent Monks, Scroll 02《高僧傳》卷第二	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll2.md	Taisho Tripitaka	高僧傳卷第二	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_002.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll2-analysis.md	gaosengzhuan-scroll2-gloss.html
38	Biographies of Eminent Monks, Scroll 03《高僧傳》卷第三	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll3.md	Taisho Tripitaka	高僧傳卷第三	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_003.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll3-analysis.md	gaosengzhuan-scroll3-gloss.html
39	Biographies of Eminent Monks, Scroll 04《高僧傳》卷第四	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll4.md	Taisho Tripitaka	高僧傳卷第四	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_004.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll4-analysis.md	gaosengzhuan-scroll4-gloss.html
40	Biographies of Eminent Monks, Scroll 05《高僧傳》卷第五	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll5.md	Taisho Tripitaka	高僧傳卷第五	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_005.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll5-analysis.md	gaosengzhuan-scroll5-gloss.html
41	Biographies of Eminent Monks, Scroll 06《高僧傳》卷第六	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll6.md	Taisho Tripitaka	高僧傳卷第六	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_006.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll6-analysis.md	gaosengzhuan-scroll6-gloss.html
42	Biographies of Eminent Monks, Scroll 07《高僧傳》卷第七	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll7.md	Taisho Tripitaka	高僧傳卷第七	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_007.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll7-analysis.md	gaosengzhuan-scroll7-gloss.html
43	Biographies of Eminent Monks, Scroll 08《高僧傳》卷第八	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll8.md	Taisho Tripitaka	高僧傳卷第八	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_008.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll8-analysis.md	gaosengzhuan-scroll8-gloss.html
44	Biographies of Eminent Monks, Scroll 09《高僧傳》卷第九	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll9.md	Taisho Tripitaka	高僧傳卷第九	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_009.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll9-analysis.md	gaosengzhuan-scroll9-gloss.html
45	Biographies of Eminent Monks, Scroll 10《高僧傳》卷第十	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll10.md	Taisho Tripitaka	高僧傳卷第十	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_010.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll10-analysis.md	gaosengzhuan-scroll10-gloss.html
46	Biographies of Eminent Monks, Scroll 11《高僧傳》卷第十一	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll11.md	Taisho Tripitaka	高僧傳卷第十一	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_011.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll11-analysis.md	gaosengzhuan-scroll11-gloss.html
47	Biographies of Eminent Monks, Scroll 12《高僧傳》卷第十二	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll12.md	Taisho Tripitaka	高僧傳卷第十二	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_012.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll12-analysis.md	gaosengzhuan-scroll12-gloss.html
48	Biographies of Eminent Monks, Scroll 13《高僧傳》卷第十三	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=gaosengzhuan-scroll13.md	Taisho Tripitaka	高僧傳卷第十三	中華電子佛典協會	http://www.cbeta.org/result/normal/T50/2059_013.htm	Hui Jiao	Vol. 50, No. 2059	Historic Doc.	Liang 502—557	\N	gaosengzhuan-scroll13-analysis.md	gaosengzhuan-scroll13-gloss.html
49	Chronicle of the Buddhas and the Patriarchs, Scroll 51 《佛祖統紀》卷51	web	Chinese	Traditional	Historic Doc.	corpus_entry.php?uri=fozutongji-scroll51.md	Taisho Tripitaka	北魏孝文。詔德法師	中華電子佛典協會	http://www.cbeta.org/result/normal/T49/2035_051.htm	Zhipan	Vol. 49, No. 2035	Historic Doc.	Southern Song 1127—1280	\N	fozutongji-scroll51-analysis.md	fozutongji-scroll51-gloss.html
