圌	53
宵	384
蠋	1
噢	24
偊	2
叻	12
慨	567
鷓	65
雰	53
襋	1
孌	20
墆	1
噪	83
仍	4280
緤	59
砂	567
晉	8949
鷥	16
霛	4
佁	3
鏜	4
輀	3
機	14201
虐	543
怋	4
欶	84
謨	3130
酻	2
患	13794
烋	26
蚡	29
擟	1
磸	3
斑	410
蛔	22
讇	57
蝶	119
胸	1955
技	772
屠	1613
捼	51
遜	751
泣	2930
摺	46
莽	950
莓	25
褢	8
欣	5420
追	4280
葎	4
閗	1
譥	15
邈	514
藐	13795
挊	14
襖	37
挓	27
蠰	57
檈	6
囐	9
濉	1
熭	1
崑	309
ə	1
酒	6848
弱	4083
偶	1022
恃	2292
紇	686
廁	1358
轅	241
僅	396
蕅	22
企	974
彫	531
鸍	1
塕	1
蠢	317
勞	7999
竅	389
璸	1
觥	7
眒	7
澠	35
及	164656
啞	470
碧	935
跖	93
胠	7
跽	38
韋	2107
錄	21000
淠	3
焣	8
爮	15
詼	6
緣	212814
欱	37
懌	163
楄	3
獏	1
捚	1
榨	4
失	48585
澸	1
衎	12
綍	5
蝌	9
妺	1
悛	110
緱	21
痍	115
旗	561
瘺	4
媠	5
獅	240
檥	6
遲	2369
室	13678
昊	194
戎	606
釃	5
臻	560
賡	27
蜆	43
愾	17
曦	75
鮞	1
揘	1
嫶	4
幵	84
祱	1
妮	10
熾	6199
遍	67483
袱	36
趻	1
儻	726
垒	8
迢	216
髓	1545
獑	2
稌	3
犳	5
愐	12
試	4092
蹴	218
紻	1
艥	7
煫	1
畡	1
託	3485
勐	6
戢	214
磽	55
箈	1
涌	1926
絲	1465
佞	401
睡	5668
踶	6
嗃	3
鈗	1
硱	5
糕	13
使	52807
泬	2
磈	10
穴	2255
倘	75
櫞	13
盭	1
觴	75
坁	8
辨	20247
胢	1
椽	447
囈	29
鶘	16
擘	458
橐	195
擣	618
鋇	1
味	28092
昷	36
緟	2
鰲	14
壡	3
珦	2
衽	47
瑠	1628
陞	485
祫	3
嚱	1
鐐	9
訇	18
耔	2
咓	18
蓺	23
揮	709
鞋	484
牾	1
樀	12
盯	3
懤	1
瑒	11
獃	13
靡	2849
哨	11
剷	2
碼	167
明	235475
牓	185
忒	96
菧	3
嚪	24
寥	472
滯	3125
葢	169
墁	15
璚	5
車	13538
歿	920
嚂	40
櫟	11
隰	73
搏	650
鬽	25
