reference_no,type,citation
262,Full,"Kern, H (tr) 1884, <i>Saddharma-Pundarika or, the Lotus Sutra of the True Law</i>, Sacred Books of the East, Vol XXI, (accessed 2016-08-04) <a href='http://www.sacred-texts.com/bud/lotus/index.htm'>http://www.sacred-texts.com/bud/lotus/index.htm</a>."
262,Full,"Kumārajīva, Tsugunari Kubo, Akira Yuyama (tr) 2007, <i>The Lotus Sutra (BDK English Tripitaka)</i>, BDK English Tripitaka Translation Series, Numata Center for Buddhist Translation and Research, 2nd edition, Berkeley, California: BDK America, online at <a href='https://bdkamerica.org/product/the-lotus-sutra-revised-second-edition/'>https://bdkamerica.org/product/the-lotus-sutra-revised-second-edition/</a>."
262,Full,"Reeves, G &amp; Kumārajīva. 2008, <i>The Lotus sutra : a contemporary translation of a Buddhist classic</i>, Boston: Wisdom Publications."
262,Full,"Watson, B (tr) &amp; Kumārajīva. 1993, <i>The Lotus Sutra</i>, New York: Columbia University Press."
279,Full,"Cleary, TF. 1993, <i>The Flower Ornament Scripture: A Translation of the Avatamsaka Sutra</i>, Random House: New York."
