reference_no,language,citation
2137,Sanskrit and English,"Henry Colebrook (tr.) 1887, <i>Samkhyakarika of Iswara Krishna</i>, Oxford University Press, Oxford, <a href='https://archive.org/details/thesaankhyakaari00alasuoft/page/n3/mode/2up'>https://archive.org/details/thesaankhyakaari00alasuoft/page/n3/mode/2up</a>."
2137,Sanskrit and English,"Larson, Gerald James 1979, <i>Classical Sāṃkhya: An Interpretation of Its History and Meaning</i>, second revised edition, Delhi: Motilal Banarsidass, <a href='https://archive.org/details/classicalsamkhya0000lars/mode/2up'>https://archive.org/details/classicalsamkhya0000lars/mode/2up</a>."
