reference_no,type,citation
2087,Full,"Hiuen Tsiang and Samuel Beal (tr.) 1884, <i>Si-yu-ki. Buddhist Records of the Western World</i>, two volumes, London: Trubner, online at volume 1: <a href=""https://archive.org/details/siyukibuddhistre01hsuoft"">https://archive.org/details/siyukibuddhistre02hsuoft</a>, volume 2: <a href=""https://archive.org/details/siyukibuddhistre02hsuoft"">https://archive.org/details/siyukibuddhistre02hsuoft</a>."
2087,Full,"Xuanzang, Bianji, and Jung-hsi Li 1996, <i>The Great Tang Dynasty Record of the Western Regions</i>, Berkeley, Calif: Numata Center for Buddhist Translation & Research, PDF download at <a href=""https://bdkamerica.org/download/1865"">https://bdkamerica.org/download/1865</a>."
