reference_no,language,citation
475,French and English from the Sanskrit,"Boin, Sara, and Étienne Lamotte 1976, <i>The teaching of Vimalakīrti: (Vimalakīrtinirdeśa)</i>. London: Pali Text Society."
475,English from Sanskrit,"Thurman, Robert A. F 1976, <i>The Holy Teaching of Vimalakīrti: A Mahāyāna Scripture</i>, Univ. Park; London: Pennsylvania State University Press."
