reference_no,type,citation
412,Full,"French, Frank G. and Daoji Shi 2003, <i>The Sutra of Bodhisattva Ksitigarbha's Fundamental Vows</i>, Taipei, Taiwan: Corporate Body of the Buddha Educational Foundation."
412,Full,"Hsüan Hua 1974, <i>Sutra of the Past Vows of Earth Store Bodhisattva: the Collected Lectures of Tripitaka Master Hsüan Hua</i>, New York: Buddhist Text Translation Society."
412,Full,"Tsai, Jeanne 2014, <i>Original Vows of Ksitigarbha Bodhisattva Sutra</i>, Hacienda Heights, CA: Fo Guang Shan International Translation Center, <a href='https://www.fgsitc.org/wp-content/uploads/2017/12/Ksitigarbha_Sutra_ChiEng.pdf'>https://www.fgsitc.org/wp-content/uploads/2017/12/Ksitigarbha_Sutra_ChiEng.pdf</a>."
