reference_no,type,citation
1585,Full,"Cock, Francis H. 1999, <i>Three Texts on Consciousness Only</i>, United States: Numata Center for Buddhist Translation and Research, at <a href='https://bdkamerica.org/product/three-texts-on-consciousness-only/'>https://bdkamerica.org/product/three-texts-on-consciousness-only/</a>."
1610,Full,"Keenan, John 2017, “A Mahayana Demonstration on the Theme of Action,” In: <i>Three Short Treatises by Vasubandhu, Sengzhao, and Zongmi</i>, Berkeley: Bukkyo Dendo Kyokai America. pp. 5-50."
