reference_no,type,citation
1550,Full,"Willemen, Charles 1975, <i>The Essence of Metaphysics: Abhidharmahṛdaya</i>, Translated and Annotated, Bruxelles: Publications de l’Institut Belge des Hautes Études Bouddhiques. Série Études et Textes 4."
1558,Full,"Vasubandhu and Leo Pruden 1988-90, <i>Abhidharma Kosha Bhashyam</i>, Berkeley: Asian Humanities Press, 4 vols."
