reference_no,language,citation
397,English from Tibetan,"Braarvig, Jens 1993, <i>Akṣayamatinirdeśasūtra, Vol. II: The Tradition of Imperishability in Buddhist Thought, Translation with Introduction</i>, Oslo: Solum forlad; <a href='https://www2.hf.uio.no/polyglotta/public/media/libraries/file/2/Aksayamati_vol-2.pdf'>https://www2.hf.uio.no/polyglotta/public/media/libraries/file/2/Aksayamati_vol-2.pdf</a>."
397,"Sanskrit, Tibetan, English from Tibetan","Braarvig, Jens 2014, Thesaurus Literaturae Buddhicae, “Akṣayamatinirdeśa,” University of Oslo, at <a href='https://www2.hf.uio.no/polyglotta/index.php?page=volume&vid=424#permlink'>https://www2.hf.uio.no/polyglotta/index.php?page=volume&vid=424</a>, accessed 2022-01-03."
