reference_no,type,citation
1564,Full,"Garfield, Jay L 1995, <i>The Fundamental Wisdom of the Middle Way</i>, Oxford University Press, USA."
1564,Full,"Jones, Richard H 2010, <i>Nagarjuna, Buddhism's Most Important Philosopher: Plain English Translations and Summaries of Nagarjuna's Essential Philosophical Works</i>, New York: Jackson Square Books."
1564,Full,"Nāgārjuna, Mark Siderits, and Shōryū Katsura 2013, <i>Nagarjuna's Middle way: the Mulamadhyamakakarika</i>, Boston : Wisdom Publications."
