reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1926,46,,,,,,,,,,,,,,,,,
1927,46,,,,,,,,,,,,,,,,,
1928,46,,,,,,,,,,,,,,,,,
1929,46,,,,,,,,,,,,,,,,,
1930,46,,,,,,,,,,,,,,,,,
1931,46,,,,,,,,,,,,,,,,,
1932,46,,,,,,,,,,,,,,,,,
1933,46,,,,,,,,,,,,,,,,,
1934,46,,,,,,,,,,,,,,,,,
1935,46,,,,,,,,,,,,,,,,,
1936,46,,,,,,,,,,,,,,,,,
1937,46,,,,,,,,,,,,,,,,,
1938,46,,,,,,,,,,,,,,,,,
1939,46,,,,,,,,,,,,,,,,,
1940,46,,,,,,,,,,,,,,,,,
1941,46,,,,,,,,,,,,,,,,,
1942,46,,,,,,,,,,,,,,,,,
1943,46,,,,,,,,,,,,,,,,,
1944,46,,,,,,,,,,,,,,,,,
1945,46,,,,,,,,,,,,,,,,,
1946,46,,,,,,,,,,,,,,,,,
1947,46,,,,,,,,,,,,,,,,,
1948,46,,,,,,,,,,,,,,,,,
1949,46,,,,,,,,,,,,,,,,,
1950,46,,,,,,,,,,,,,,,,,
1951,46,,,,,,,,,,,,,,,,,
1952,46,,,,,,,,,,,,,,,,,
1953,46,,,,,,,,,,,,,,,,,
1954,46,,,,,,,,,,,,,,,,,
1955,46,,,,,,,,,,,,,,,,,
1956,46,,,,,,,,,,,,,,,,,
1957,47,,,,,,,,,,,,,,,,,
1958,47,,,,,,,,,,,,,,,,,
1959,47,,,,,,,,,,,,,,,,,
1960,47,,,,,,,,,,,,,,,,,
1961,47,,,,,,,,,,,,,,,,,
1962,47,,,,,,,,,,,,,,,,,
1963,47,,,,,,,,,,,,,,,,,
1964,47,,,,,,,,,,,,,,,,,
1965,47,,,,,,,,,,,,,,,,,
1966,47,,,,,,,,,,,,,,,,,
1967,47,,,,,,,,,,,,,,,,,
1968,47,,,,,,,,,,,,,,,,,
1969A,47,,,,,,,,,,,,,,,,,
1969B,47,,,,,,,,,,,,,,,,,
1970,47,,,,,,,,,,,,,,,,,
1971,47,,,,,,,,,,,,,,,,,
1972,47,,,,,,,,,,,,,,,,,
1973,47,,,,,,,,,,,,,,,,,
1974,47,,,,,,,,,,,,,,,,,
1975,47,,,,,,,,,,,,,,,,,
1976,47,,,,,,,,,,,,,,,,,
1977,47,,,,,,,,,,,,,,,,,
1978,47,,,,,,,,,,,,,,,,,
1979,47,,,,,,,,,,,,,,,,,
1980,47,,,,,,,,,,,,,,,,,
1981,47,,,,,,,,,,,,,,,,,
1982,47,,,,,,,,,,,,,,,,,
1983,47,,,,,,,,,,,,,,,,,
1984,47,,,,,,,,,,,,,,,,,
1985,47,,,,,,,,,,,,,,,,,
1986A,47,,,,,,,,,,,,,,,,,
1986B,47,,,,,,,,,,,,,,,,,
1987A,47,,,,,,,,,,,,,,,,,
1987B,47,,,,,,,,,,,,,,,,,
1988,47,,,,,,,,,,,,,,,,,
1989,47,,,,,,,,,,,,,,,,,
1990,47,,,,,,,,,,,,,,,,,
1991,47,,,,,,,,,,,,,,,,,
1992,47,,,,,,,,,,,,,,,,,
1993,47,,,,,,,,,,,,,,,,,
1994A,47,,,,,,,,,,,,,,,,,
1994B,47,,,,,,,,,,,,,,,,,
1995,47,,,,,,,,,,,,,,,,,
1996,47,,,,,,,,,,,,,,,,,
1997,47,,,,,,,,,,,,,,,,,
1998A,47,,,,,,,,,,,,,,,,,
1998B,47,,,,,,,,,,,,,,,,,
1999,47,,,,,,,,,,,,,,,,,
2000,47,,,,,,,,,,,,,,,,,
2001,48,,,,,,,,,,,,,,,,,
2002A,48,,,,,,,,,,,,,,,,,
2002B,48,,,,,,,,,,,,,,,,,
2003,48,,,,,,,,,,,,,,,,,
2004,48,,,,,,,,,,,,,,,,,
2005,48,,,,,,,,,,,,,,,,,
2006,48,,,,,,,,,,,,,,,,,
2007,48,,,,,,,,,,,,,,,,,
2008,48,,,,,,,,,,,,,,,,,
2009,48,,,,,,,,,,,,,,,,,
2010,48,,,,,,,,,,,,,,,,,
2011,48,,,,,,,,,,,,,,,,,
2012A,48,,,,,,,,,,,,,,,,,
2012B,48,,,,,,,,,,,,,,,,,
2013,48,,,,,,,,,,,,,,,,,
2014,48,,,,,,,,,,,,,,,,,
2015,48,,,,,,,,,,,,,,,,,
2016,48,,,,,,,,,,,,,,,,,
2017,48,,,,,,,,,,,,,,,,,
2018,48,,,,,,,,,,,,,,,,,
2019A,48,,,,,,,,,,,,,,,,,
2019B,48,,,,,,,,,,,,,,,,,
2020,48,,,,,,,,,,,,,,,,,
2021,48,,,,,,,,,,,,,,,,,
2022,48,,,,,,,,,,,,,,,,,
2023,48,,,,,,,,,,,,,,,,,
2024,48,,,,,,,,,,,,,,,,,
2025,48,,,,,,,,,,,,,,,,,
